P0	P1	P2	P3
1,035261	0,877744	0,874402	0,886940
1,037703	0,878066	0,874697	0,886579
1,040231	0,878427	0,875030	0,886184
1,042529	0,878828	0,875401	0,885888
1,045027	0,879261	0,875807	0,885510
1,047283	0,879731	0,876248	0,885236
1,049659	0,880231	0,876721	0,884912
1,052022	0,880763	0,877225	0,884597
1,054118	0,881327	0,877760	0,884395
1,056263	0,881914	0,878321	0,884174
1,058442	0,882526	0,878907	0,883941
1,060448	0,883163	0,879517	0,883781
1,062486	0,883821	0,880150	0,883609
1,064384	0,884500	0,880803	0,883497
1,066080	0,885196	0,881476	0,883470
1,067768	0,885904	0,882163	0,883447
1,069583	0,886626	0,882863	0,883371
1,071310	0,887363	0,883577	0,883332
1,072909	0,888113	0,884305	0,883347
1,074490	0,888872	0,885044	0,883370
1,076002	0,889641	0,885793	0,883422
1,077228	0,890417	0,886550	0,883594
1,078730	0,891195	0,887312	0,883648
1,079937	0,891981	0,888080	0,883827
1,081155	0,892768	0,888851	0,884000
1,082552	0,893557	0,889625	0,884096
